Zip Code,Total,"$1 under $25,000","$25,000 under $50,000","$50,000 under $75,000","$75,000 under $100,000","$100,000 under $200,000","$200,000 or more"
70807,6050,3570,1700,500,170,110,0
70811,5970,2830,1810,710,330,250,40
70805,10740,6760,2890,730,210,150,0
70812,4900,2630,1480,480,180,130,0
70814,6970,2860,2290,930,450,400,40
70819,2160,960,660,320,120,100,0
70815,13060,5540,3610,1660,950,1100,200
70806,12110,4710,2950,1450,790,1420,790
70802,9360,5500,20,720,260,220,70
70801,120,30,2790,50,0,20,0
70808,14300,4220,2660,1660,1180,2600,1980
70809,12080,3160,2790,1760,1040,1980,1350
70816,19840,7400,5640,2710,1500,2010,580
70810,19980,5550,4150,2470,1570,3480,2760
70820,7050,3530,1490,640,350,690,350